radian measurement is represented as rad
		 rad 		| cos(radian) 		| sin(rad) 		| tan(rad)
		0.0		 | 1.0+		 0.0 		 0.0
		0.2617993877991494		 | 0.9659258262890683+		 0.25881904510252074 		 0.2679491924311227
		0.5235987755982988		 | 0.8660254037844387+		 0.49999999999999994 		 0.5773502691896257
		0.7853981633974483		 | 0.7071067811865476+		 0.7071067811865475 		 0.9999999999999999
		1.0471975511965976		 | 0.5000000000000001+		 0.8660254037844386 		 1.7320508075688767
		1.308996938995747		 | 0.25881904510252096+		 0.9659258262890682 		 3.7320508075688745
		1.5707963267948963		 | 2.83276944882399E-16+		 1.0 		 3.5301143212171575E15
		1.8325957145940457		 | -0.2588190451025204+		 0.9659258262890684 		 -3.732050807568883
		2.0943951023931953		 | -0.4999999999999998+		 0.8660254037844387 		 -1.7320508075688783
		2.356194490192345		 | -0.7071067811865475+		 0.7071067811865476 		 -1.0000000000000002
		2.6179938779914944		 | -0.8660254037844387+		 0.49999999999999994 		 -0.5773502691896257
		2.879793265790644		 | -0.9659258262890683+		 0.2588190451025206 		 -0.26794919243112253
		3.1415926535897936		 | -1.0+		 -3.216245299353273E-16 		 3.216245299353273E-16
		3.403392041388943		 | -0.9659258262890682+		 -0.2588190451025212 		 0.2679491924311232
		3.6651914291880927		 | -0.8660254037844384+		 -0.5000000000000006 		 0.5773502691896266
		3.9269908169872423		 | -0.707106781186547+		 -0.7071067811865481 		 1.0000000000000016
		4.188790204786391		 | -0.4999999999999996+		 -0.8660254037844388 		 1.732050807568879
		4.4505895925855405		 | -0.25881904510252063+		 -0.9659258262890683 		 3.732050807568879
		4.71238898038469		 | -1.8369701987210297E-16+		 -1.0 		 5.443746451065123E15
		4.974188368183839		 | 0.2588190451025203+		 -0.9659258262890684 		 -3.7320508075688847
		5.235987755982988		 | 0.49999999999999933+		 -0.866025403784439 		 -1.7320508075688805
		5.497787143782137		 | 0.7071067811865468+		 -0.7071067811865483 		 -1.0000000000000022
		5.759586531581286		 | 0.8660254037844379+		 -0.5000000000000012 		 -0.5773502691896276
		6.021385919380435		 | 0.9659258262890679+		 -0.2588190451025224 		 -0.2679491924311245
		6.2831853071795845		 | 1.0+		 -2.021286199229721E-15 		 -2.021286199229721E-15
